iter	RMSE
0	26.98840185
1	26.61448979
2	26.26412422
3	25.93772589
4	25.63862031
5	25.36644318
6	25.11398348
7	24.88918407
8	24.67912949
9	24.47915816
10	24.2940063
11	24.12591769
12	23.97287216
13	23.82875238
14	23.70197523
15	23.58652407
16	23.46949092
17	23.36377879
18	23.26662216
19	23.18342806
20	23.09974153
21	23.01667366
22	22.94268388
23	22.87389963
24	22.81418339
25	22.75479536
26	22.69606217
27	22.63731524
28	22.58420757
29	22.53268531
30	22.48586747
31	22.44694027
32	22.40770175
33	22.3701652
34	22.33385841
35	22.30208126
36	22.27237396
37	22.241759
38	22.21327227
39	22.18996295
40	22.16503293
41	22.13499841
42	22.10651737
43	22.081708
44	22.05755729
45	22.03732092
46	22.01888706
47	21.99872073
48	21.97472901
49	21.95383711
50	21.93591085
51	21.91993582
52	21.8990032
53	21.88062008
54	21.86079748
55	21.84352638
56	21.83101817
57	21.81422662
58	21.79730777
59	21.77977907
60	21.76590474
61	21.75230708
62	21.74069563
63	21.72409906
64	21.71008323
65	21.69819339
66	21.68862955
67	21.67433473
68	21.66390774
69	21.64937609
70	21.63798804
71	21.62540608
72	21.61383349
73	21.60315095
74	21.59236798
75	21.58164303
76	21.56856505
77	21.56036975
78	21.55302026
79	21.54174761
80	21.52953816
81	21.51730871
82	21.50162025
83	21.4936958
84	21.47774807
85	21.46307915
86	21.44978858
87	21.4365399
88	21.42943019
89	21.41628412
90	21.41151244
91	21.39769339
92	21.38142707
93	21.36563142
94	21.35782925
95	21.34939464
96	21.33787407
97	21.3269801
98	21.31754318
99	21.30447045
100	21.29580358
101	21.28811861
102	21.28062037
103	21.27303427
104	21.26956693
105	21.26349834
106	21.25565787
107	21.25065004
108	21.24261268
109	21.23441894
110	21.22645309
111	21.21682876
112	21.2083751
113	21.19905422
114	21.18563059
115	21.18021499
116	21.17159373
117	21.16563375
118	21.15405602
119	21.14495323
120	21.13493646
121	21.12941549
122	21.11786971
123	21.11151744
124	21.10550842
125	21.10095492
126	21.09721002
127	21.09305221
128	21.08944149
129	21.08530047
130	21.07669364
131	21.0680116
132	21.06268131
133	21.05681762
134	21.04927159
135	21.04070304
136	21.03384315
137	21.02761955
138	21.0170751
139	21.01288999
140	21.00649229
141	20.9987839
142	20.99151565
143	20.98509553
144	20.97864818
145	20.96934409
146	20.96072604
147	20.95428038
148	20.94423948
149	20.93688003
150	20.92879495
151	20.92462482
152	20.91628938
153	20.90516791
154	20.89879145
155	20.89320124
156	20.88762669
157	20.88022154
158	20.87415314
159	20.86426245
160	20.86065208
161	20.85528935
162	20.84992855
163	20.84620753
164	20.83473516
165	20.82973531
166	20.82301444
167	20.82039136
168	20.81538266
169	20.80765319
170	20.79841071
171	20.79307319
172	20.78850191
173	20.78379659
174	20.77891759
175	20.77293704
176	20.76542845
177	20.75565105
178	20.74668855
179	20.74151184
180	20.73576823
181	20.72788631
182	20.72096831
183	20.71080991
184	20.70534239
185	20.69840805
186	20.69405602
187	20.68802417
188	20.68349101
189	20.67285096
190	20.66834997
191	20.65787133
192	20.64802004
193	20.63659825
194	20.63282898
195	20.62581515
196	20.61852457
197	20.61592649
198	20.60831446
199	20.59952549
200	20.59372032
201	20.59147979
202	20.58822396
203	20.5827405
204	20.57431931
205	20.57125841
206	20.56436281
207	20.55888266
208	20.55116055
209	20.53875445
210	20.53527413
211	20.52599572
212	20.5198445
213	20.51787909
214	20.51012736
215	20.50412021
216	20.4986892
217	20.49403522
218	20.48911456
219	20.48325956
220	20.47686714
221	20.46882582
222	20.46316554
223	20.45625275
224	20.44764619
225	20.43942102
226	20.43219036
227	20.42694911
228	20.42111945
229	20.4159396
230	20.41106748
231	20.40344926
232	20.39932724
233	20.38992863
234	20.38560891
235	20.37947628
236	20.37559858
237	20.36959344
238	20.36435518
239	20.35493045
240	20.35084112
241	20.34308428
242	20.33940116
243	20.33409732
244	20.32774392
245	20.32343103
246	20.3157138
247	20.31225872
248	20.30550988
249	20.30090227
250	20.29578056
251	20.29229188
252	20.28289314
253	20.27488681
254	20.27085749
255	20.2659104
256	20.26089606
257	20.25795198
258	20.25169149
259	20.24442476
260	20.2348303
261	20.22602565
262	20.22144768
263	20.21473051
264	20.20977145
265	20.20607853
266	20.20158438
267	20.19790279
268	20.19254711
269	20.18650882
270	20.17839204
271	20.17435455
272	20.16966452
273	20.16420814
274	20.16110323
275	20.1564784
276	20.15204757
277	20.14586451
278	20.13998764
279	20.13421505
280	20.12738999
281	20.12314458
282	20.11738371
283	20.1113207
284	20.10705085
285	20.10051119
286	20.0980694
287	20.08851777
288	20.08640136
289	20.08064295
290	20.07591617
291	20.07305568
292	20.0676777
293	20.059987
294	20.05253273
295	20.04360187
296	20.03874072
297	20.03415095
298	20.03165253
299	20.02206755
300	20.01857954
301	20.01571436
302	20.00744046
303	20.00411994
304	20.00098578
305	19.99618614
306	19.9930209
307	19.98759517
308	19.98335925
309	19.97474316
310	19.96897334
311	19.96476099
312	19.95923824
313	19.95426106
314	19.95111711
315	19.94554497
316	19.94051943
317	19.93353633
318	19.92823936
319	19.92113036
320	19.9164845
321	19.9116879
322	19.90532148
323	19.89975791
324	19.8913523
