iter	Passed	Remaining
0	67	66971
1	129	64727
2	199	66276
3	271	67491
4	338	67400
5	401	66505
6	467	66293
7	559	69421
8	618	68106
9	687	68072
10	750	67503
11	811	66798
12	862	65477
13	919	64790
14	969	63654
15	1021	62829
16	1070	61877
17	1117	60960
18	1161	59970
19	1207	59174
20	1249	58257
21	1294	57567
22	1340	56953
23	1385	56346
24	1432	55851
25	1477	55338
26	1521	54826
27	1565	54331
28	1610	53936
29	1655	53522
30	1699	53135
31	1744	52780
32	1790	52455
33	1835	52152
34	1881	51876
35	1924	51533
36	1965	51149
37	2009	50868
38	2053	50598
39	2097	50331
40	2138	50026
41	2182	49780
42	2227	49578
43	2271	49346
44	2314	49127
45	2358	48922
46	2403	48734
47	2449	48583
48	2493	48395
49	2538	48223
50	2581	48037
51	2625	47861
52	2669	47690
53	2713	47540
54	2758	47391
55	2801	47228
56	2846	47096
57	2890	46942
58	2935	46824
59	2980	46691
60	3023	46547
61	3069	46431
62	3119	46390
63	3168	46338
64	3217	46286
65	3266	46229
66	3316	46186
67	3367	46159
68	3420	46152
69	3474	46166
70	3523	46107
71	3572	46050
72	3625	46033
73	3675	45993
74	3722	45909
75	3770	45838
76	3816	45743
77	3859	45615
78	3904	45516
79	3948	45408
80	3993	45313
81	4038	45214
82	4082	45109
83	4122	44955
84	4164	44833
85	4211	44758
86	4254	44646
87	4297	44538
88	4341	44442
89	4385	44344
90	4431	44264
91	4476	44184
92	4521	44096
93	4566	44009
94	4611	43934
95	4654	43826
96	4699	43747
97	4743	43659
98	4786	43565
99	4830	43476
100	4875	43397
101	4920	43323
102	4967	43259
103	5012	43180
104	5056	43097
105	5097	42994
106	5141	42910
107	5183	42815
108	5225	42713
109	5269	42635
110	5314	42561
111	5358	42484
112	5403	42416
113	5447	42339
114	5490	42255
115	5533	42169
116	5577	42096
117	5622	42028
118	5668	41963
119	5712	41891
120	5756	41817
121	5800	41744
122	5844	41668
123	5890	41612
124	5936	41552
125	5980	41486
126	6024	41411
127	6066	41327
128	6108	41247
129	6151	41166
130	6194	41094
131	6238	41021
132	6279	40933
133	6321	40854
134	6364	40779
135	6410	40725
136	6456	40671
137	6499	40599
138	6542	40528
139	6588	40471
140	6632	40404
141	6676	40338
142	6720	40277
143	6765	40216
144	6810	40157
145	6854	40091
146	6898	40031
147	6943	39974
148	6989	39922
149	7034	39862
150	7076	39789
151	7122	39737
152	7166	39671
153	7215	39636
154	7258	39568
155	7300	39498
156	7343	39430
157	7382	39343
158	7425	39277
159	7470	39220
160	7513	39154
